,Overall NHL Stats,,,,,,,,,Shots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,SHOTS,SH%,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor McDavid,EDM,24,F,80,44,79,123,45,28,314,14.0%,484,53.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Gaudreau,CGY,28,F,82,40,75,115,26,64,262,15.3%,0,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Huberdeau,FLA,28,F,80,30,85,115,54,35,222,13.5%,36,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Draisaitl,EDM,26,F,80,55,55,110,40,17,278,19.8%,774,53.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Kaprizov,MIN,24,F,81,47,61,108,34,27,289,16.3%,4,55.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auston Matthews,TOR,24,F,73,60,46,106,18,20,348,17.2%,538,56.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Stamkos,TBL,31,F,81,42,64,106,36,24,241,17.4%,523,51.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Tkachuk,CGY,24,F,82,42,62,104,68,57,253,16.6%,23,46.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.T. Miller,VAN,28,F,80,32,67,99,47,15,206,15.5%,566,54.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Marner,TOR,24,F,72,35,62,97,16,23,224,15.6%,8,55.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Josi,NSH,31,D,80,23,73,96,46,13,281,8.2%,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemi Panarin,NYR,30,F,75,22,74,96,18,21,177,12.4%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Connor,WPG,25,F,79,47,46,93,4,-3,317,14.8%,6,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikko Rantanen,COL,25,F,75,36,56,92,56,35,254,14.2%,190,46.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Kane,CHI,33,F,78,26,66,92,18,-19,287,9.1%,4,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Ovechkin,WSH,36,F,77,50,40,90,18,8,334,15.0%,9,30.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksander Barkov,FLA,26,F,67,39,49,88,18,36,214,18.2%,539,56.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan MacKinnon,COL,26,F,65,32,56,88,42,22,299,10.7%,461,45.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazem Kadri,COL,31,F,71,28,59,87,71,13,247,11.3%,592,49.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Duchene,NSH,30,F,78,43,43,86,38,6,228,18.9%,101,54.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cale Makar,COL,23,D,77,28,58,86,26,48,240,11.7%,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Fiala,MIN,25,F,82,33,52,85,52,23,262,12.6%,11,26.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Hedman,TBL,31,D,82,20,65,85,36,26,219,9.1%,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Forsberg,NSH,27,F,69,42,42,84,22,12,226,18.6%,0,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Guentzel,PIT,27,F,76,40,44,84,44,13,264,15.2%,12,52.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidney Crosby,PIT,34,F,69,31,53,84,32,19,208,14.9%,690,52.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Lindholm,CGY,27,F,82,42,40,82,22,61,235,17.9%,751,52.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir Tarasenko,STL,30,F,75,34,48,82,32,7,230,14.8%,7,36.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Reinhart,FLA,26,F,78,33,49,82,13,25,186,17.7%,185,48.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Aho,CAR,24,F,79,37,44,81,38,18,221,16.7%,504,52.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mika Zibanejad,NYR,28,F,81,29,52,81,12,30,219,13.2%,640,52.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Pavelski,DAL,37,F,82,27,54,81,14,11,216,12.5%,357,52.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Nylander,TOR,25,F,81,34,46,80,16,-9,256,13.3%,31,52.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Marchand,BOS,33,F,70,32,48,80,97,16,242,13.2%,27,34.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Robertson,DAL,22,F,74,41,38,79,22,16,220,18.6%,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mats Zuccarello,MIN,34,F,70,24,55,79,24,21,159,15.1%,34,38.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex DeBrincat,CHI,24,F,82,41,37,78,19,-13,270,15.2%,39,38.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgeny Kuznetsov,WSH,29,F,79,24,54,78,44,7,208,11.5%,662,43.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Kreider,NYR,30,F,81,52,25,77,24,19,258,20.2%,69,49.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Pastrnak,BOS,25,F,72,40,37,77,20,13,312,12.8%,14,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Thomas,STL,22,F,72,20,57,77,16,17,115,17.4%,565,49.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo Meier,SJS,25,F,77,35,41,76,54,-3,326,10.7%,19,48.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel Buchnevich,STL,26,F,73,30,46,76,34,29,199,15.1%,26,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Tavares,TOR,31,F,79,27,49,76,32,-8,237,11.4%,529,60.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Kyrou,STL,23,F,74,27,48,75,20,10,188,14.4%,9,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Fox,NYR,23,D,78,11,63,74,26,18,158,7.0%,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesper Bratt,NJD,23,F,76,26,47,73,16,0,197,13.2%,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roope Hintz,DAL,25,F,80,37,35,72,28,15,213,17.4%,317,52.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Carlson,WSH,31,D,78,17,54,71,20,13,195,8.7%,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Scheifele,WPG,28,F,67,29,41,70,23,-17,159,18.2%,418,50.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
